,news_media,positive,neutral,negative,compound,create_date,tweets_ago
76,CNN,0.108,0.811,0.081,0.1779,2018-08-13 03:41:04+00:00,-76
77,CNN,0.138,0.862,0.0,0.34,2018-08-13 03:32:54+00:00,-77
78,CNN,0.0,0.681,0.319,-0.8176,2018-08-13 02:47:04+00:00,-78
79,CNN,0.0,0.772,0.228,-0.7351,2018-08-13 02:40:04+00:00,-79
80,CNN,0.107,0.725,0.168,-0.3818,2018-08-13 02:30:09+00:00,-80
81,CNN,0.0,1.0,0.0,0.0,2018-08-13 02:30:07+00:00,-81
82,CNN,0.0,0.881,0.119,-0.3182,2018-08-13 02:23:04+00:00,-82
83,CNN,0.0,1.0,0.0,0.0,2018-08-13 02:17:03+00:00,-83
84,CNN,0.0,0.857,0.143,-0.4588,2018-08-13 02:16:20+00:00,-84
85,CNN,0.0,1.0,0.0,0.0,2018-08-13 02:10:31+00:00,-85
86,CNN,0.0,1.0,0.0,0.0,2018-08-13 02:00:57+00:00,-86
87,CNN,0.223,0.777,0.0,0.5106,2018-08-13 01:45:05+00:00,-87
88,CNN,0.0,1.0,0.0,0.0,2018-08-13 01:43:57+00:00,-88
89,CNN,0.0,1.0,0.0,0.0,2018-08-13 01:34:56+00:00,-89
90,CNN,0.0,0.766,0.234,-0.6705,2018-08-13 01:30:06+00:00,-90
91,CNN,0.0,1.0,0.0,0.0,2018-08-13 01:15:07+00:00,-91
92,CNN,0.097,0.903,0.0,0.128,2018-08-13 01:01:36+00:00,-92
93,CNN,0.0,1.0,0.0,0.0,2018-08-13 00:45:03+00:00,-93
94,CNN,0.0,1.0,0.0,0.0,2018-08-13 00:30:00+00:00,-94
95,CNN,0.0,0.909,0.091,-0.25,2018-08-13 00:15:41+00:00,-95
96,CNN,0.0,0.821,0.179,-0.34,2018-08-13 00:00:05+00:00,-96
97,CNN,0.184,0.816,0.0,0.4019,2018-08-12 23:45:04+00:00,-97
98,CNN,0.0,1.0,0.0,0.0,2018-08-12 23:30:14+00:00,-98
99,CNN,0.0,0.802,0.198,-0.4939,2018-08-12 23:22:03+00:00,-99
0,fox,0.0,0.811,0.189,-0.6072,2018-08-09 04:56:06+00:00,0
1,fox,0.151,0.677,0.172,-0.1027,2018-08-08 02:12:41+00:00,-1
2,fox,0.091,0.909,0.0,0.128,2018-08-08 02:10:53+00:00,-2
3,fox,0.118,0.728,0.153,-0.1945,2018-08-08 02:08:41+00:00,-3
4,fox,0.404,0.596,0.0,0.8316,2018-08-08 02:07:07+00:00,-4
5,fox,0.167,0.833,0.0,0.5267,2018-08-08 01:59:38+00:00,-5
6,fox,0.324,0.676,0.0,0.7717,2018-08-08 01:57:04+00:00,-6
7,fox,0.188,0.812,0.0,0.5719,2018-08-08 01:54:45+00:00,-7
8,fox,0.464,0.536,0.0,0.9201,2018-08-08 01:50:21+00:00,-8
9,fox,0.0,1.0,0.0,0.0,2018-08-08 01:48:16+00:00,-9
10,fox,0.153,0.847,0.0,0.4019,2018-08-07 23:32:22+00:00,-10
11,fox,0.0,1.0,0.0,0.0,2018-08-07 23:32:15+00:00,-11
12,fox,0.132,0.868,0.0,0.4404,2018-08-07 23:28:56+00:00,-12
13,fox,0.245,0.755,0.0,0.7574,2018-08-07 23:06:06+00:00,-13
14,fox,0.482,0.518,0.0,0.4199,2018-08-04 03:47:44+00:00,-14
15,fox,0.583,0.417,0.0,0.4199,2018-08-04 03:27:03+00:00,-15
16,fox,0.276,0.724,0.0,0.7574,2018-08-04 03:12:25+00:00,-16
17,fox,0.551,0.449,0.0,0.8626,2018-08-04 03:05:32+00:00,-17
18,fox,0.148,0.852,0.0,0.5095,2018-08-04 03:04:39+00:00,-18
19,fox,0.562,0.438,0.0,0.8395,2018-08-04 03:04:32+00:00,-19
20,fox,0.482,0.518,0.0,0.4199,2018-08-04 03:03:40+00:00,-20
21,fox,0.191,0.809,0.0,0.5106,2018-08-04 03:03:16+00:00,-21
22,fox,0.0,1.0,0.0,0.0,2018-08-04 03:03:07+00:00,-22
23,fox,0.851,0.149,0.0,0.6908,2018-08-04 03:02:36+00:00,-23
